StoreID,Week,Week_start,Week_end,Count,Sum_Gross Margin,Sum_Sales,Sq_Ft,AvgMonthSales
10018,1,2/6/2015,2/12/2015,552,2213.39,4741.48,1183,18000
10018,2,2/13/2015,2/19/2015,542,2164.69,4571.25,1183,18000
10018,3,2/20/2015,2/26/2015,378,1561.42,3348.25,1183,18000
10018,4,2/27/2015,3/5/2015,576,2343.62,5114.96,1183,18000
10018,5,3/6/2015,3/12/2015,523,2200,4799.48,1183,18000
10018,6,3/13/2015,3/19/2015,516,2103.78,4554.97,1183,18000
10018,7,3/20/2015,3/26/2015,350,1413.36,2999.55,1183,18000
10018,8,3/27/2015,4/2/2015,512,2125.12,4519.61,1183,18000
10018,9,4/3/2015,4/9/2015,534,2216.79,4727.05,1183,18000
10018,10,4/10/2015,4/16/2015,410,1686.69,3689.33,1183,18000
10018,11,4/17/2015,4/23/2015,471,1938.69,4168.13,1183,18000
10018,12,4/24/2015,4/30/2015,470,1875.11,4002.32,1183,18000
10018,13,5/1/2015,5/7/2015,383,1571.54,3334.79,1183,18000
10018,14,5/8/2015,5/14/2015,385,1586.86,3417.03,1183,18000
10018,15,5/15/2015,5/21/2015,595,2473.78,5259.41,1183,18000
10018,16,5/22/2015,5/28/2015,441,1815.56,3921.49,1183,18000
10018,17,5/29/2015,6/4/2015,570,2331.22,5007.67,1183,18000
10018,18,6/5/2015,6/11/2015,706,2898.58,6148.26,1183,18000
10018,19,6/12/2015,6/18/2015,532,2155.85,4631.32,1183,18000
10018,20,6/19/2015,6/25/2015,678,2640.68,5751.79,1183,18000
10018,21,6/26/2015,7/2/2015,580,2189.41,4687.75,1183,18000
10018,22,7/3/2015,7/9/2015,435,1732.52,3746.96,1183,18000
10018,23,7/10/2015,7/16/2015,439,1786.25,3795.56,1183,18000
10018,24,7/17/2015,7/23/2015,493,1895.29,4059.15,1183,18000
10018,25,7/24/2015,7/30/2015,636,2546.35,5488.51,1183,18000
10018,26,7/31/2015,8/6/2015,446,1794.08,3803.22,1183,18000
10018,27,8/7/2015,8/13/2015,555,2177.14,4742.37,1183,18000
10018,28,8/14/2015,8/20/2015,599,2399.61,5185.11,1183,18000
10018,29,8/21/2015,8/27/2015,498,1978.27,4322.95,1183,18000
10018,30,8/28/2015,9/3/2015,550,2216.96,4811.77,1183,18000
10018,31,9/4/2015,9/10/2015,497,1925.74,4133.75,1183,18000
10018,32,9/11/2015,9/17/2015,362,1452.97,3177.36,1183,18000
10018,33,9/18/2015,9/24/2015,521,2119.17,4553.43,1183,18000
10018,34,9/25/2015,10/1/2015,458,1752.36,3773.57,1183,18000
10018,35,10/2/2015,10/8/2015,369,1485.76,3205.66,1183,18000
10018,36,10/9/2015,10/15/2015,489,2074.41,4511.84,1183,18000
10018,37,10/16/2015,10/22/2015,408,1659.01,3608.94,1183,18000
10018,38,10/23/2015,10/29/2015,458,1758.92,3811.07,1183,18000
10018,39,10/30/2015,11/5/2015,479,1936.96,4223.86,1183,18000
10018,40,11/6/2015,11/12/2015,537,2182.53,4676.36,1183,18000
10018,41,11/13/2015,11/19/2015,405,1667.44,3614.8,1183,18000
10018,42,11/20/2015,11/26/2015,590,2434.76,5166.68,1183,18000
10018,43,11/27/2015,12/3/2015,490,1963.1,4192.41,1183,18000
10018,44,12/4/2015,12/10/2015,491,1940.61,4143.16,1183,18000
10018,45,12/11/2015,12/17/2015,629,2493.01,5383.25,1183,18000
10018,46,12/18/2015,12/24/2015,608,2360.04,5133.79,1183,18000
10018,47,12/25/2015,12/31/2015,505,2091.04,4440.02,1183,18000
10018,48,1/1/2016,1/7/2016,427,1730.99,3686.81,1183,18000
10018,49,1/8/2016,1/14/2016,437,1858.03,3988.77,1183,18000
10018,50,1/15/2016,1/21/2016,457,1894.77,4123.26,1183,18000
10018,51,1/22/2016,1/28/2016,490,1934.52,4202.11,1183,18000
10018,52,1/29/2016,2/4/2016,596,2429.87,5322.98,1183,18000
10018,53,2/5/2016,2/11/2016,499,1972.55,4286.33,1183,18000
10018,54,2/12/2016,2/18/2016,551,2204.36,4766.76,1183,18000
10018,55,2/19/2016,2/25/2016,659,2653.53,5687.8,1183,18000
10018,56,2/26/2016,3/3/2016,635,2676.26,5723.27,1183,18000
10018,57,3/4/2016,3/10/2016,611,2489.87,5319.53,1183,18000
10018,58,3/11/2016,3/17/2016,665,2640.64,5750.09,1183,18000
10018,59,3/18/2016,3/24/2016,429,1807.44,3854.21,1183,18000
10018,60,3/25/2016,3/31/2016,418,1619.21,3434.72,1183,18000
10018,61,4/1/2016,4/7/2016,471,1878.08,4046.31,1183,18000
10018,62,4/8/2016,4/14/2016,457,1809.32,3905.05,1183,18000
10018,63,4/15/2016,4/21/2016,480,1941.35,4144.87,1183,18000
10018,64,4/22/2016,4/28/2016,405,1692.73,3592.17,1183,18000
10018,65,4/29/2016,5/5/2016,463,1937.5,4189.32,1183,18000
10018,66,5/6/2016,5/12/2016,488,1986.89,4199.33,1183,18000
10018,67,5/13/2016,5/19/2016,615,2440.89,5134.54,1183,18000
10018,68,5/20/2016,5/26/2016,392,1651.95,3508.88,1183,18000
10018,69,5/27/2016,6/2/2016,383,1489.6,3174.68,1183,18000
10018,70,6/3/2016,6/9/2016,394,1671.61,3566.47,1183,18000
10018,71,6/10/2016,6/16/2016,407,1687.27,3585.94,1183,18000
10018,72,6/17/2016,6/23/2016,535,2077.11,4390.25,1183,18000
10018,73,6/24/2016,6/30/2016,535,2121.49,4527.25,1183,18000
10018,74,7/1/2016,7/7/2016,388,1585.34,3338.93,1183,18000
10018,75,7/8/2016,7/14/2016,454,1886.72,3989.31,1183,18000
10018,76,7/15/2016,7/21/2016,337,1491.62,3188.03,1183,18000
10068,1,2/6/2015,2/12/2015,450,1814.96,3999.1,1198,16000
10068,2,2/13/2015,2/19/2015,495,1973.45,4321.32,1198,16000
10068,3,2/20/2015,2/26/2015,554,2226.3,4898.17,1198,16000
10068,4,2/27/2015,3/5/2015,458,1926.74,4232.11,1198,16000
10068,5,3/6/2015,3/12/2015,542,2134.36,4695.12,1198,16000
10068,6,3/13/2015,3/19/2015,548,2242.91,4904.24,1198,16000
10068,7,3/20/2015,3/26/2015,244,1039.74,2251.58,1198,16000
10068,8,3/27/2015,4/2/2015,478,2004.58,4320.52,1198,16000
10068,9,4/3/2015,4/9/2015,449,1909.02,4116.99,1198,16000
10068,10,4/10/2015,4/16/2015,436,1681.15,3705.92,1198,16000
10068,11,4/17/2015,4/23/2015,508,2082.6,4556.51,1198,16000
10068,12,4/24/2015,4/30/2015,347,1338.57,2908.33,1198,16000
10068,13,5/1/2015,5/7/2015,443,1757.97,3812.84,1198,16000
10068,14,5/8/2015,5/14/2015,578,2372.39,5114.53,1198,16000
10068,15,5/15/2015,5/21/2015,511,2062.87,4550.15,1198,16000
10068,16,5/22/2015,5/28/2015,267,1121.83,2474.15,1198,16000
10068,17,5/29/2015,6/4/2015,402,1661,3604.33,1198,16000
10068,18,6/5/2015,6/11/2015,564,2203.53,4804.96,1198,16000
10068,19,6/12/2015,6/18/2015,573,2391.68,5234.6,1198,16000
10068,20,6/19/2015,6/25/2015,478,1847.37,4039.66,1198,16000
10068,21,6/26/2015,7/2/2015,519,2020.45,4417.24,1198,16000
10068,22,7/3/2015,7/9/2015,360,1418,3167.12,1198,16000
10068,23,7/10/2015,7/16/2015,528,2073.5,4566.04,1198,16000
10068,24,7/17/2015,7/23/2015,424,1601.72,3494.68,1198,16000
10068,25,7/24/2015,7/30/2015,501,1873.76,4167.56,1198,16000
10068,26,7/31/2015,8/6/2015,510,1920.45,4183.93,1198,16000
10068,27,8/7/2015,8/13/2015,509,1919.94,4214.25,1198,16000
10068,28,8/14/2015,8/20/2015,515,2044.69,4466.96,1198,16000
10068,29,8/21/2015,8/27/2015,385,1657.99,3598.59,1198,16000
10068,30,8/28/2015,9/3/2015,438,1740.51,3866.67,1198,16000
10068,31,9/4/2015,9/10/2015,567,2271.24,5026.13,1198,16000
10068,32,9/11/2015,9/17/2015,395,1545.97,3401.93,1198,16000
10068,33,9/18/2015,9/24/2015,521,2021.07,4457.74,1198,16000
10068,34,9/25/2015,10/1/2015,540,2127.11,4764.69,1198,16000
10068,35,10/2/2015,10/8/2015,413,1629.11,3502.72,1198,16000
10068,36,10/9/2015,10/15/2015,558,2212.58,4790.08,1198,16000
10068,37,10/16/2015,10/22/2015,350,1380.63,3052.53,1198,16000
10068,38,10/23/2015,10/29/2015,411,1677.51,3728.09,1198,16000
